서명,저자,출판사,출판년
꼬꼬는 봄을 싫어해!,이치카와 노부코 글 ; 사토 아야 그림 ; 양선하 옮김,국민서관,2008
꼬마 유령,오트프리트 프로이슬러 글 ; 프란츠 요제프 트립 그림 ; 백경학 옮김,길벗어린이,2007
꿈의 다이어리,이미옥 글 ; 김진화 그림,시공주니어,2007
나는 너랑 함께 있어서 좋을 때가 더 많아,구두룬 멥스 글 ; 로트라우트 주자나 베르너 그림 ; 문성원 옮김,시공주니어,2006
나는 싸기대장의 형님,조성자 글 ; 김병하 그림,시공주니어,2008
나비 뚱비,프란초벨 글 ; 지빌레 포겔 그림 ; 이유림 옮김,국민서관,2007
나쁜 엄마,클라라 비달 지음 ; 이효숙 옮김,메타포,2008
난 작가가 될 거야,재클린 윌슨 지음 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2008
날씨탐정 무즈바와 불타는 지구,캐런 트래포드 글 ; 데이비드 윌셔 그림 ; 조현 옮김,현암사,2007
내 고추는 천연기념물,박상률 글 ; 최오민 그림,시공주니어,2008
내 동생 삐옥이,박성옥 글 ; 조원형 그림,문학동네,2008
내 이름은 나답게,김향이 지음 ; 김종도 그림,사계절,2008
내 이름은 나답게,김향이 지음 ; 김종도 그림,사계절,2008
내 이름은 삐삐 롱스타킹,아스트리드 린드그렌 글 ; 롤프 레티시 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
내 이름은 에이프릴,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2007
내 친구 꼬마거인,로알드 달 글 ; 퀜틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
내 친구 꼬마거인,로알드 달 글 ; 퀜틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
내 친구 윈딕시,케이트 디카밀로 글 ; 송재호 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
내 친구는 천사 병동에 있다,이옥수 글 ; 김중석 그림,시공주니어,2006
내가 어렸을 때에,에리히 캐스트너 글 ; 호르스트 렘케 그림 ; 장영은 옮김,시공주니어,2008
너네 엄마는 네안데르탈인,존 셰스카 글 ; 레인 스미스 그림 ; 지혜연 옮김,시공주니어,2007
뉴욕에 간 귀뚜라미 체스터,조지 셀던 톰프슨 글 ; 가스 윌리엄즈 그림 ; 김연수 옮김,시공주니어,2008
다락방의 불빛,쉘 실버스타인 글·그림 ; 신형건 옮김,보물창고,2007
다람쥐가 보낸 편지,톤 텔레헨 글 ; 악셀 셰플러 그림 ; 김영진 옮김,비룡소,2006
도깨비 아부지,이상배 글 ; 한태희 그림,국민서관,2007
"도서관에 가지 마, 절대로",이오인 콜퍼 글 ; 토니 로스 그림 ; 이윤선 옮김,국민서관,2007
동물 회의,에리히 캐스트너 글 ; 발터 트리어 그림 ; 김서정 옮김,시공주니어,2007
동물대장 엉걸이,서석영 지음 ; 한지희 그림,시공주니어,2007
동화책을 먹은 바둑이,노경실 지음 ; 김명심 외 그림,사계절,2006
또 한번의 전학,김혜리 글 ; 장선환 그림,시공주니어,2008
똥 싼 할머니,이옥수 글 ; 김병호 그림,시공주니어,2008
똥 싼 할머니,이옥수 글 ; 김병호 그림,시공주니어,2008
라스무스와 방랑자,아스트리드 린드그렌 글 ; 호르스트 렘케 그림 ; 문성원 옮김,시공주니어,2008
라스무스와 폰투스,아스트리드 린드그렌 글 ; 호르스트 렘케 그림 ; 문성원 옮김,시공주니어,2008
랄프는 똑똑해,비벌리 클리어리 글 ; 풀 오 젤린스키 그림 ; 김영선 옮김,시공주니어,2007
랄프와 오토바이,비벌리 클리어리 글 ; 루이스 달링 그림 ; 지혜연 옮김,시공주니어,2007
로테와 루이제,에리히 캐스트너 글 ; 발터 트리어 그림 ; 김서정 옮김,시공주니어,2007
리지 입은 지퍼 입,재클린 윌슨 글 ; 닉 나샤랫 그림 ; 지혜연 옮김,시공주니어,2007
마루 밑 바로우어즈,메리 노튼 글 ; 베스 크러시 ; 조 크러시 [공]그림 ; 손영미 옮김,시공사,2008
마리산,우봉규 글 ; 송진헌 그림,시공주니어,2008
마법에 걸린 전화기,에리히 캐스트너 글 ; 발터 트리어 그림 ; 김서정 옮김,시공주니어,2006
마음이 자라는 소리,조성자 글 ; 임소연 그림,시공주니어,2008
마주보고 크는 나무,조성자 글 ; 서은영 그림,시공주니어,2008
말박사 고장수,곽옥미 글 ; 김유대 그림,시공주니어,2008
멍청씨 부부이야기,로알드 달 글 ; 퀜틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2007
목걸이 열쇠,황선미 글 ; 신은재 그림,시공주니어,2008
무툴라는 못말려！,베벌리 나이두 글 ; 피에트 그로블러 그림 ; 강미라 옮김,국민서관,2008
물방울 왓수의 신나는 세상여행,캐런 트래포드 글 ; 메건 에릭스 그림 ; 조현 옮김,현암사,2007
미라가 된 고양이,재클린 윌슨 글 ; 닉 샤랫 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
미리쓰는 방학일기,박상률 지음 ; 김유태 그림,사계절,2007
밥상의 기사들,존 셰스카 글 ; 레인 스미스 그림 ; 지혜연 옮김,시공주니어,2008
벌거숭이 나라. 3-19,박상률 지음 ; 한선금 그림,시공주니어,2005
벌레구멍 속으로,문선이 글 ; 한수진 그림,시공주니어,2008
별난 재주꾼 이야기,조호상 글 ; 권사우 그림,사계절,2008
보리타작 하는 날,윤기현 창작동화 ; 김병하 그림,사계절,2008
보보의 모험,김혜리 글 ; 이형진 그림,시공주니어,2008
비밀수첩 . 9,린요우르,가문비어린이,2007
(빈둥빈둥)투닉스 왕,미라 로베 글 ; 수지 바이겔 그림 ; 조경수 옮김,시공주니어,2008
(빈둥빈둥)투닉스 왕,미라 로베 글 ; 수지 바이겔 그림 ; 조경수 옮김,시공주니어,2008
빵 들고 자는 언니,고형렬 지음 ; 강을순 그림,창비,2007
뽀뽀쟁이 프리더,구드룬 멥스 글 ; 로트라우트 주자나 베르너 그림 ; 문성원 옮김,시공주니어,2008
사랑하는 우리 삼촌,심상우 글 ; 한상언 그림,시공주니어,2008
산속 어린 새,김명수 지음 ; 신민재 그림,창비,2005
산적의 딸 로냐,아스트리드 린드그렌 글 ; 일론 비클란드 그림 ; 이진영 옮김,시공주니어,2008
살구는 왜 노랗게 익는 걸까,이승희 지음 ; 박세은 그림,풀그림,2007
새가 된 아이,홍기 지음 ; 이웅환 그림,시공주니어,2007
새집머리 아모스,마이클 델라니 글.그림 ; 양지연 옮김,시공주니어,2004
새틴 강가에서,필리퍼 피어스 글 ; 유기훈 그림 ; 햇살과나무꾼 옮김,시공주니어,2006
생각을 모으는 사람,모니카 페트 지음 ; 안토니 보라틴스키 그림 ; 김경연 옮김,풀빛,2007
샬롯의 거미줄,엘윈 브룩스 화이트 글 ; 가스 윌리엄즈 그림 ; 김화곤 옮김,시공주니어,2008
선생님을 이긴 날,김은영 글 ; 박형진 그림,문학동네,2008
소떼와 함께 춤을,존 셰스카 글 ; 레인 스미스 그림 ; 지혜연 옮김,시공주니어,2007
소똥 경단이 최고야!,김바다 글 ; 양정아 그림,창비,2007
신발 속에 사는 악어,위기철 지음 ; 안미영 그림,사계절,2007
싸움소,이상권 글 ; 김병호 그림,시공주니어,2008
쌍둥이 루비와 가닛,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2008
아기 까치의 우산,김미혜 지음 ; 한수진 그림,창비,2007
아기 사슴 플랙,마저리 키난 롤링즈 지음 ; N. C. 와이즈 그림 ; 이희재 옮김,시공주니어,2008
아기호랑이에게 줄무늬를 그려줘,안드레이 우사초프 원작 ; 알렉산드라 융에 그림 ; 유혜자 옮김,고려원북스,2008
아버지와 아들,노경실 글 ; 한지희 그림,시공주니어,2007
"아북거, 아북거",로알드 달 글 ; 퀸틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2007
"아북거, 아북거",로알드 달 글 ; 퀸틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2007
아빠 보내기,박미라 글 ; 최정인 그림,시공주니어,2008
아빠에게 보내는 병 편지,후버트 쉬어네크 글 ; 멜라니 켐믈러 그림 ; 이옥용 옮김,국민서관,2005
아빠하고 나하고,강숙인 글 ; 허구 그림,바우솔,2007
아주 소중한 2등,엘렌 비냘 글 ; 레티시아 르쏘 그림 ; 김예령 옮김,국민서관,2006
아주 작은개 치키티토,필리퍼 피어스 글 ; 앤터니 메이틀런드 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
안녕 마를린,안나 피엔버그 글 ; 앤 제임스 그림 ; 류가미 옮김,국민서관,2006
어른들만 사는 나라,박상률 글 ; 한선금 그림,시공주니어,2008
어른들만 사는 나라,박상률 글 ; 한선금 그림,시공주니어,2008
어른들은 우리 마음 잘 몰라 . 7,윤수천,가문비어린이,2007
엄마 돌보기,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2007
엄마 따로 아빠 따로,임정진 글 ; 허구 그림,시공주니어,2008
엄지소년,에리히 캐스트너 글 ; 호르스트 렘케 그림 ; 이희재 옮김,시공주니어,2007
엄지 소년과 엄지 소녀,에리히 캐스트너 글 ; 호르스트 렘케 그림 ; 이희재 옮김,시공주니어,2008
에밀과 세 쌍둥이,에리히 캐스트너 글 ; 발터 트리어 그림 ; 장영은 옮김,시공주니어,2007
에밀과 탐정들,에리히 캐스트너 글 ; 발터 트리어 그림 ; 장영은 옮김,시공주니어,2008
여우야 여우야 어디있니 . 6,김숙분,가문비어린이,2007
여우와 토끼가 잘 자라고 말할 때,카트린 섀러 글.그림 ; 고은정 옮김,예림당,2008
오래 슬퍼하지 마,글렌 링트베드 글 ; 샬로테 파르디 그림 ; 안미란 옮김,느림보,2007
오톨린과 고양이부인,크리스 리들 글. 그림 ; 송주은 옮김,예림당,2008
요정나라 시장구경,샐리 가드너 글.그림 ; 조국현 옮김,봄봄,2007
우리모두 꼴찌 기러기에게 박수를,하나 요한슨 지음 ; 케티 벤트 그림 ; 문성원 옮김,시공주니어,2008
(우리 반 인터넷 사이트)고민의 방,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 역,시공주니어,2007
우리의 챔피언 대니,로알드 달 글 ; 퀸틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
웃기지도 않는 해적 깃발. 3-2,존 셰스카 글 ; 레인 스미스 그림 ; 지혜연 옮김,시공주니어,2007
(위대한 마법사 호조의)수상한 선물 가게,류가미 글 ; 김정민 그림,국민서관,2006
은하철도 999의 기적,류호선 글 ; 나오미양 그림,시공주니어,2007
이발소의 돼지,에리히 케스트너 글 ; 호르스트 렘케 그림 ; 김서정 옮김,시공주니어,2007
이야기꾼 생쥐와 이야기 좋아하는 고양이,우르젤 쉐플러 글 ; 볼프 몬트 그림 ; 송소민 옮김,국민서관,2008
일기 도서관,박효미 지음 ; 김유대 그림,사계절출판사,2007
일기 도서관,박효미 지음 ; 김유대 그림,사계절출판사,2007
자신만만 글쓰기,J. 알렉산더 지음 ; 조너선 에드워즈 그림 ; 홍연미 옮김,국민서관,2007
작별인사,구두룬 멥스 글 ; 윱 묀스터 그림 ; 문성원 옮김,시공주니어,2008
작은 신사,필리퍼 피어스 글 ; 패트릭 벤슨 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
잠옷 파티,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2007
잠옷 파티,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2007
제임스와 슈퍼 복숭아,로알드 달 글 ; 퀜틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
"조금만, 조금만 더",존 레이놀즈 가디너 글 ; 마샤 슈얼 그림 ; 김경연 옮김,시공주니어,2007
"조지, 마법의 약을 만들다",로알드 달 글 ; 퀜틴 블레이크 그림 ; 김연수 옮김,시공주니어,2008
졸참나무처럼,우봉규 글 ; 이승민 그림,시공주니어,2008
지난 밤 학교에서 생긴 일,조형희 [등]지음 ; 임수진 [등]그림 ; 신형건 엮음,푸른책들,2008
집 나온 생쥐 랄프,비벌리 클리어리 글 ; 루이스 달링 그림 ; 김영선 옮김,시공주니어,2007
짱꼬꼬의 여행,오명근 글 ; 손재수 그림,글사랑,2008
찰리와 거대한 유리 엘리베이터,로알드 달 글 ; 퀸틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
창문닦이 삼총사,로알드 달 글 ; 퀸틴 블레이크 그림 ; 김연수 옮김,시공주니어,2008
천사가 된 비키,재클린 윌슨 글 ; 닉 샤랫 그림 ; 이은선 옮김,시공주니어,2008
출동 반바지 부대,빅토어 캐스팩 ; 이브 라누아 [공]글 ; 올레 쾨네케 그림 ; 문성원 옮김,시공주니어,2008
쿨쿨 할아버지 잠깬 날,위기철 지음 ; 신혜원 그림,사계절,2008
트럭 속 파란눈이,황선미 글 ; 이상권 그림,시공주니어,2007
펠리스 펠리스,하나 요한슨 글 ; 케티 벤트 그림 ; 채운정 옮김,시공주니어,2008
핑크트헨과 안톤,에리히 캐스트너 글 ; 발터 트리어 그림 ; 이희재 옮김,시공주니어,2004
하늘친구 땅친구,배현순 글 ; 김창희 그림,문학동네어린이,2002
하늘을 나는 교실,에리히 캐스트너 글 ; 발터 트리어 그림 ; 문성원 옮김,시공주니어,2006
한밤중 톰의 정원에서,필리파 피어스 글 ; 수잔 아인칙 그림 ; 김석희 옮김,시공주니어,2005
"할머니, 나랑 친구해요!",구두룬 멥스 글 ; 로트라우트 주자나 베르너 그림 ; 문성원 옮김,시공주니어,2007
형형색색,박정식 지음 ; 김천정 그림,세계문예,2008
호철이 안경은 이상해！,조성자 글 ; 정승희 그림,시공주니어,2008
혼자서도 할 수 있어요,노성두 글 ; 김경희 그림,사계절,2008
화가와 호루라기,강원희 글 ; 김혜진 그림,바우솔,2008
회장이면 다야,함영연 글 ; 박철민 그림,시공주니어,2008
(교과서에 나오는)유네스코 세계문화유산. 1 : 유럽,이형준 글·사진,시공사,2008
(어린이)살아있는 한국사 교과서. 1 : 선사 시대부터 삼국 통일까지,전국역사교사모임 원작 ; 윤종배 글 ; 이은홍 그림,휴머니스트,2008
(어린이)살아있는 한국사 교과서. 1 : 선사 시대부터 삼국 통일까지,전국역사교사모임 원작 ; 윤종배 글 ; 이은홍 그림,휴머니스트,2008
(우리 신화로 세상 보기)거인 똥이 태백산맥 되었다네,이경덕 글 ; 이광익 그림,아이세움,2007
과학의 배꼽,과학아이 글 ; 이샛별 그림,아이세움,2007
명재상 이야기,박윤규 지음,보물창고,2008
박물관에서 사회 공부하기,박물관이야기 지음,글로연,2008
이집트에서 보물찾기,곰돌이 co. 글 ; 강경효 그림,아이세움,2005
독일에서 보물찾기,곰돌이 co.글 ; 강경효 그림,아이세움,2008
시간을 담는 그릇,미하일 일리인 글 ; 박수현 엮음,아이세움,2007
신화야 나오너라 세상구경 가자,이경덕 글 ; 최용호 그림,아이세움,2007
책상위의 태양,미하일 일리인 글 ; 박수현 옮김,아이세움,2007
고양이 레옹은 서커스가 좋아요,프랑수아즈 라신 글. 그림 ; 양진희 옮김,교학사,2004
고양이 레옹은 농장이 좋아요,프랑수아즈 라신 글. 그림 ; 양진희 옮김,교학사,2004
고양이 레옹은 집이 좋아요,프랑수아즈 라신 글. 그림 ; 양진희 옮김,교학사,2004
(고사리손)요리책,배영희 지음 ; 정유정 그림,길벗어린이,2007
코코는 화가 났어요,카렌 판 홀스트 펠레칸 글 ; 페라 드 바커르 그림 ; 이은석 옮김,문학동네,2002
율리와 괴물,크리스턴 보우에 글 ; 유타 바우어 그림 ; 카테리나 스티그리츠 옮김,문학동네,2007
"폭력, 저리 가!. 3 : 지렁이와 새",실비 지라르데 지음 ; 퓌그 로사도 그림 ; 최정수 옮김,문학동네어린이,2000
빨간 고양이 마투,에릭 바튀 글.그림 ; 최정수 옮김,문학동네어린이,2007
씨앗을 심었어요,도미니크 매 글.그림 ; 염미희 옮김,문학동네어린이,2002
우리 같이 놀래,도미니크 매 글.그림 ; 염미희 옮김,문학동네어린이,2002
좋아 질것 같아,이모토 요코 글.그림 ; 변은숙 옮김,문학동네어린이,2008
빨간 구두,이머 드로스 글 ; 하리 겔렌 그림 ; 이지연 옮김,베틀북,2002
"엄마, 공주옷 입을래요",도리스 되리 글 ; 율리아 케르겔 그림 ; 김미영 옮김,베틀북,2007
학교 안 갈 거야,토니 로스 글.그림 ; 양희진 옮김,베틀북,2007
나도 태워줘,이태수 세밀화 ; 변정연 그림,보리,2008
이것 좀 봐,이태수 세밀화 ; 차정인 그림,보리,2008
꼭꼭 숨어라,이태수 세밀화 ; 박영신 그림,보리,2007
냠냠 짭짭,이태수 세밀화 ; 서은영 그림,보리,2007
이게 뭐야,이태수 세밀화 ; 최호철 그림,보리,2007
미꾸리는 길어,이태수 세밀화 ; 박경진 그림,보리,2008
꽉 찼잖아！,오드레이 푸시에 지음 ; 박정연 옮김,보림,2007
꽉 찼잖아！,오드레이 푸시에 지음 ; 박정연 옮김,보림,2007
안 보이네！,오드레이 푸시에 지음 ; 박정연 옮김,보림,2007
엄마를 내다 버릴 테야,마사 알렉산더 지음 ; 서남희 옮김,보림,2008
왜 따라왔어！,오드레이 푸시에 지음 ; 박정연 옮김,보림,2007
"잘했어, 베니!",바르브루 린드그렌 글 ; 울루프 란드스트룀 그림 ; 최선경 옮김,보림,2004
콩콩이는 오늘따라 공차기도 재미없습니다,최준식 글. 그림,보림,2002
토끼와 거북이,라 퐁테느 글 ; 브라이언 와일드스미스 그림 ; 우순교 옮김,보림,2007
호랑이 잡은 피리,강무홍 글 ; 김달성 그림,보림,2007
구두 발자국,김홍모 글.그림,북스,2008
나 하나로는 부족해,피터 H. 레이노즈 글·그림 ; 조세현 옮김,비룡소,2007
나랑 친구 할래,크리스틴 A. 애덤스 글 ; R. W. 앨리 그림 ; 노은정 옮김,비룡소,2008
사과나무,E. 페티슈카 글 ; H. 즈마틀리코바 그림 ; 권재일 옮김,비룡소,2001
색깔을 훔치는 마녀,이문영 글 ; 이현정 그림,비룡소,2007
이상한 화요일,데이비드 위즈너 글.그림,비룡소,2008
자작나무 마을 이야기,알로이스 카리지에 글. 그림 ; 박민수 옮김,비룡소,2007
쥐돌이와 팬케이크,나카에 요시오 글 ; 우에노 노리코 그림 ; 고향옥 옮김,비룡소,2007
창문으로 넘어온 선물,고미 타로 글. 그림 ; 이종화 옮김,비룡소,2007
코를 킁킁,루스 크라우스 글 ; 마크 사이먼트 그림 ; 고진하 옮김,비룡소,2007
털털털 굴삭기,정하섭 글 ; 한병호 그림,비룡소,2008
깜짝 놀라게 될 걸！,크리스티앙 기보 글.그림 ; 김소연 옮김,삐아제어린이,2007
그림 속 그림찾기 ㄱㄴㄷ,이상교 동시 ; 안윤모...[등]그림,사계절출판사,2007
낳으실 제 괴로움 다 잊으시고,이상희 글 ; 곽영권 그림,사계절,2007
백구,김민기 지음 ; 권문희 그림,사계절,2008
설빔,배현주 글.그림,사계절출판사,2008
설빔,배현주 글.그림,사계절,2008
"아가야, 안녕",제니 오버렌드 글 ; 줄리 비바스 그림 ; 김장성 옮김,사계절,2008
"아빠, 꽃밭 만들러 가요",송언 글 ; 한지희 그림,사계절,2007
암소 로자의 살빼기 작전,크리스텔 데무아노 글. 그림 ; 유정림 옮김,사계절,2007
풀꽃안녕,신혜은 글 ; 정유정 그림,사계절,2008
꽁지 닷 발 주둥이 닷 발,이상희 글 ; 조은희 그림,시공주니어,2006
누군가가 있나봐,고미 타로 그림.글 ; 한수연 옮김,시공주니어,2006
보물,유리 슐레비츠 글.그림 ; 최순희 옮김,시공주니어,2008
사계절,존 버닝햄 글. 그림 ; 박철주 옮김,시공주니어,2008
아주아주 많은 달,제임스 서버 글 ; 루이스 슬로보드킨 그림 ; 황경주 옮김,시공주니어,2008
알과 암탉,옐라 마리 ; 엔조 마리 [공]그림 ; [시공주니어 편집부 옮김],시공주니어,2008
엄마를 찾아 주세요 ; 한별이를 찾아 주세요,호박별 글 ; 임소연 그림,시공주니어,2008
커다란 순무,알릭셰이 톨스토이 글 ; 헬린 옥슨버리 그림 ; 박향주 옮김,시공주니어,2008
행복을 전하는 편지,안소니 프랑크 글 ; 티파니 비키 그림 ; 최순희 옮김,시공주니어,2007
화물 열차,도널드 크루즈 글.그림 ; 박철주 옮김,시공주니어,2008
생쥐하고 영화보러 간다면...,로라 너머로프 글 ; 펠리시아 본드 그림 ; 김서정 옮김,킨더랜드,2007
꼬마 한스가 혼자 되었어,베르너 홀츠바르트 글 ; 크리스티나 브레츠슈나이더 그림 ; 엄혜숙 옮김,아이세움,2002
"도와 줘, 헨리！",루스 브라운 글.그림 ; 이경혜 옮김,아이세움,2006
어두운 집은 무서워,베르너 홀츠바르트 글 ; 크리스티나 브레츠슈나이더 그림 ; 엄혜숙 옮김,아이세움,2002
여우와 토끼가 잘 자라고 말할 때,카트린 섀러 글.그림 ; 고은정 옮김,예림당,2008
먹보씨,로저 하그리브스 지음 ; 유연희 옮김,오스카,2008
재채기씨,로저 하그리브스 지음 ; 유연희 옮김,오스카,2008
코끼리가 최고야,허은미 글 ; 오정택 그림,웅진주니어,2007
하마는 엉뚱해,허은실 글 ; 윤정주 그림,웅진주니어,2004
"후유, 깜짝 놀랐네",조 신타 글.그림 ; 햇살과 나무꾼 옮김,웅진다책,2008
에네스토,요헨 슈투어만 글.그림 ; 임정은 옮김,다다북스,2006
"안 돼, 말리!",존 그로건 지음 ; 리처드 코드리 그림 ; 임미경 옮김,주니어랜덤,2007
유치원에 처음 가는 날,코린 드레퓌스 지음 ; 나탈리 슈 그림 ; 김희경 옮김,키다리,2008
따르릉 여보세요,마쓰타니 미요코 글 ; 이와사키 치히로 그림 ; [임은정 역],프로메테우스,2007
따르릉 여보세요,마쓰타니 미요코 글 ; 이와사키 치히로 그림 ; [임은정 역],프로메테우스,2007
나는 진짜 소중해!,웨인 W. 다이어 ; 크리스티나 트레이시 [공]지음 ; 스테이시 헬러 버드닉 그림 ; 정미영 옮김,한언,2006
으르렁! 밀림 속 동물 나라,잭 티클 글.그림 ; 차은숙 옮김,홍진P＆M,2008
얼굴,[시공주니어 편집부 엮음],시공주니어,2008
(세밀화로 보는)곤충의 생활,권혁도 글.그림,길벗어린이,2007
알파걸 변신 대작전,김보배 글 ; 이복영 그림,매직트리,2008
마더 테레사,이상희 글 ; 이용선 그림,프뢰벨,[2008]
이야기가 사는 집,민데르트 빈스트라 지음 ; 밥스 빈스트라 그림 ; 이선아 옮김,비룡소,2008
Goodnight moon!,"Wise Brown, Margaret",문진미디어,2005
Guess how much I love you,"McBratney, Sam",문진미디어,2009
It looked like spilt milk,"Shaw, Charles G",문진미디어,1947
"Jesse bear, What will you wear","Carlstrom, Nancy White",문진미디어,2006
My dad,"Browne, Anthony",문진미디어,2009
My mum,"Browne, Anthony",문진미디어,2009
"Polar bear, polar bear, What do you hear","Martin Jr, Bill",문진미디어,2009
Quick as a Cricket,"Wood, Audrey",문진미디어,2009
